ScannerPro Engine data log recorded on 09/11/2012 22:03:03
,Time,AC Sw,Air Temp,Barometric Pressure,Batt Volts,Code 13,Code 13,Code 14,Code 14,Code 15,Code 15,Code 21,Code 21,Code 22,Code 22,Code 23,Code 23,Code 24,Code 24,Code 25,Code 25,Code 31,Code 31,Code 32,Code 32,Code 41,Code 41,Code 42,Code 42,Code 46,Code 46,Code 51,Code 51,Code 52,Code 52,ECUID,EGR,Elec Load,Evap Purge,IAC Duty Cycle,Idle Switch,Ignition Advance,Injector PW,LTFT,Manifold Pressure,Monitor1,Monitor2,O2 Sensor,O2S_Status,PS Switch,RPM,STFT,Target Idle,TFT,TPS Angle,TPS Volts,VSS,Water Temp,
Sample #,Seconds,,C,mBar,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,degrees (BTDC),ms,,mBar,,,mV,,,RPM,,RPM,,degrees,V,MPH,C,
13,3.951,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,08,1.61,000,364,39,0.00,0.757,Inactive,Inactive,0948,100,0972,124,0.49,0.000,000,059,
14,4.430,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,08,1.61,000,370,37,0.00,0.718,Inactive,Inactive,0947,100,0972,124,0.49,0.000,000,059,
15,4.574,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,08,1.61,000,370,37,0.00,0.718,Inactive,Inactive,0947,084,0972,124,0.49,0.000,000,059,
16,4.734,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,08,1.61,000,370,31,0.00,0.602,Inactive,Inactive,0946,084,0972,124,0.49,0.000,000,059,
17,5.214,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,07,1.62,000,370,11,0.00,0.214,Inactive,Inactive,0955,084,0972,124,0.49,0.000,000,059,
18,5.662,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,08,1.65,000,370,7,0.00,0.136,Inactive,Inactive,0949,084,0972,124,0.49,0.000,000,059,
19,5.790,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,08,1.65,000,370,7,0.00,0.136,Inactive,Inactive,0949,099,0972,124,0.49,0.000,000,059,
20,5.917,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,07,1.64,000,370,6,0.00,0.117,Inactive,Inactive,0963,099,0972,124,0.49,0.000,000,059,
21,6.365,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,06,1.64,000,364,10,0.00,0.194,Inactive,Inactive,0961,099,0972,124,0.49,0.000,000,059,
22,6.829,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,07,1.61,000,364,41,0.00,0.796,Inactive,Inactive,0961,099,0972,124,0.49,0.000,000,059,
